MIN;AVG;MAX
3;77;109
66;80;93
15;67;82
63;77;89
46;69;89
45;67;86
54;66;76
47;62;71
51;66;76
44;63;78
51;67;79
40;70;84
40;61;71
51;68;80
50;68;90
